epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,432.875,0.917,0.24263,0.1307,0.64195,0.99919,0.9824,1,0.99447,0.7561,0.9824,1,0.99447,0.99447,0.87617,0.13844,0.05441,0.59096,0.86037,0.0004456,0.0004456,0.0004456
86,437.583,0.92205,0.1828,0.11769,0.6429,0.97057,0.98526,1,0.99487,0.75678,0.98526,1,0.99487,0.99487,0.89841,0.10957,0.05661,0.58662,0.8666,0.000439,0.000439,0.000439
87,442.321,0.93527,0.23995,0.1211,0.70167,1.02866,0.99385,1,0.995,0.74618,0.99385,1,0.995,0.995,0.97055,0.09821,0.05895,0.62894,0.88339,0.0004324,0.0004324,0.0004324
88,447.087,0.9466,0.20528,0.14419,0.6714,1.0071,0.99701,1,0.995,0.71514,0.99701,1,0.995,0.995,1.076,0.09422,0.06142,0.63798,0.90901,0.0004258,0.0004258,0.0004258
89,451.863,0.90133,0.23962,0.10451,0.70778,0.9956,0.97083,1,0.98833,0.77525,0.97083,1,0.98833,0.98612,0.88393,0.09493,0.05575,0.59696,0.87856,0.0004192,0.0004192,0.0004192
90,456.668,0.84029,0.21969,0.14262,0.62201,0.97013,0.9804,1,0.995,0.7559,0.9804,1,0.995,0.99311,1.01394,0.09049,0.0494,0.61367,0.89292,0.0004126,0.0004126,0.0004126
91,461.417,0.91399,0.28313,0.12999,0.65354,0.99891,0.99622,1,0.995,0.80452,0.99622,1,0.995,0.99129,0.80306,0.10893,0.04825,0.56515,0.87842,0.000406,0.000406,0.000406
92,466.335,0.88345,0.33351,0.15745,0.62147,0.98681,0.99559,1,0.995,0.68322,0.99559,1,0.995,0.9931,1.17317,0.14335,0.04703,0.6272,0.92936,0.0003994,0.0003994,0.0003994
93,471.143,0.93617,0.23412,0.12997,0.63101,1.00471,0.9966,1,0.995,0.81465,0.9966,1,0.995,0.995,0.77768,0.10161,0.04439,0.54544,0.85812,0.0003928,0.0003928,0.0003928
94,476.006,0.91403,0.24862,0.12879,0.66277,0.99642,0.99642,1,0.995,0.6643,0.99642,1,0.995,0.99311,1.17501,0.11429,0.04625,0.62525,0.89908,0.0003862,0.0003862,0.0003862
95,480.782,0.93219,0.2457,0.1245,0.65322,0.96792,0.99497,1,0.995,0.73023,0.99497,1,0.995,0.995,1.03325,0.12643,0.04492,0.58345,0.86941,0.0003796,0.0003796,0.0003796
