epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,503.799,0.3867,0.25167,1.04505,0.99798,1,0.995,0.93782,0.28607,0.21846,0.60662,0.000352037,0.000352037,0.000352037
92,508.98,0.40013,0.25138,1.07204,0.98503,1,0.99434,0.97301,0.24089,0.19007,0.56686,0.000342211,0.000342211,0.000342211
93,514.23,0.38541,0.24543,1.05374,0.99768,1,0.995,0.9483,0.26516,0.19159,0.5934,0.000332457,0.000332457,0.000332457
94,519.474,0.37481,0.24675,1.02744,0.99885,1,0.995,0.9562,0.26224,0.18439,0.57017,0.000322778,0.000322778,0.000322778
95,524.685,0.39356,0.25159,1.05897,0.99922,1,0.995,0.95202,0.27006,0.19892,0.58982,0.00031318,0.00031318,0.00031318
96,529.918,0.40604,0.24599,1.06802,0.99922,1,0.995,0.93076,0.30236,0.19679,0.63927,0.000303665,0.000303665,0.000303665
97,535.172,0.38004,0.22777,1.04205,0.99924,1,0.995,0.93302,0.29901,0.18641,0.60985,0.000294239,0.000294239,0.000294239
98,540.388,0.3743,0.22929,1.04748,0.99925,1,0.995,0.94198,0.28721,0.18539,0.59493,0.000284906,0.000284906,0.000284906
99,545.742,0.39374,0.23462,1.05875,0.99925,1,0.995,0.94688,0.27262,0.17541,0.56032,0.000275668,0.000275668,0.000275668
100,551.017,0.40038,0.24856,1.05052,0.99921,1,0.995,0.92568,0.28133,0.16779,0.58009,0.000266532,0.000266532,0.000266532
101,556.273,0.38458,0.24244,1.03887,0.98648,1,0.995,0.93221,0.28794,0.17511,0.58577,0.0002575,0.0002575,0.0002575
102,561.443,0.37383,0.2283,1.03861,0.99918,1,0.995,0.94161,0.27959,0.17515,0.5785,0.000248577,0.000248577,0.000248577
103,566.686,0.39998,0.25198,1.0695,0.99924,1,0.995,0.93977,0.26503,0.17176,0.56895,0.000239766,0.000239766,0.000239766
104,572.04,0.40473,0.23477,1.05773,0.99927,1,0.995,0.94604,0.246,0.15313,0.55649,0.000231071,0.000231071,0.000231071
105,577.344,0.38232,0.24827,1.05568,0.99928,1,0.995,0.94752,0.24338,0.15675,0.5545,0.000222497,0.000222497,0.000222497
106,582.588,0.35778,0.22721,1.0324,0.99924,1,0.995,0.96687,0.21813,0.14334,0.53319,0.000214046,0.000214046,0.000214046
107,587.83,0.35857,0.22036,1.01169,0.99907,1,0.995,0.96719,0.21877,0.14519,0.52524,0.000205723,0.000205723,0.000205723
108,593.064,0.34503,0.21882,1.03391,0.99832,1,0.995,0.96288,0.21018,0.14646,0.52758,0.000197532,0.000197532,0.000197532
109,598.44,0.34665,0.21905,1.00498,0.99927,1,0.995,0.96142,0.21209,0.14137,0.52976,0.000189475,0.000189475,0.000189475
110,603.63,0.35029,0.22221,1.02059,0.98684,1,0.995,0.97487,0.20836,0.13942,0.52004,0.000181557,0.000181557,0.000181557
111,608.855,0.37861,0.24103,1.05464,0.99906,1,0.995,0.98371,0.18895,0.14189,0.4979,0.00017378,0.00017378,0.00017378
112,614.147,0.36268,0.22656,1.03882,0.99925,1,0.995,0.97302,0.19542,0.1385,0.50249,0.000166149,0.000166149,0.000166149
113,619.319,0.37464,0.23476,1.03426,0.99926,1,0.995,0.96601,0.22034,0.13639,0.52556,0.000158667,0.000158667,0.000158667
114,624.598,0.33636,0.22051,1.01264,0.99924,1,0.995,0.97157,0.19575,0.13825,0.50573,0.000151336,0.000151336,0.000151336
115,629.749,0.3498,0.22286,1.02626,0.98622,1,0.995,0.96924,0.2287,0.15675,0.53516,0.000144161,0.000144161,0.000144161
116,635.347,0.33918,0.21163,1.0085,0.98619,1,0.995,0.97325,0.21359,0.15556,0.52787,0.000137143,0.000137143,0.000137143
117,640.545,0.32073,0.21317,1.00878,0.99923,1,0.995,0.96788,0.2043,0.1591,0.52388,0.000130287,0.000130287,0.000130287
118,645.73,0.32891,0.20549,1.00268,0.99928,1,0.995,0.95751,0.23748,0.17749,0.55319,0.000123596,0.000123596,0.000123596
119,650.985,0.35464,0.21532,1.0199,0.99928,1,0.995,0.96106,0.24289,0.1787,0.55666,0.000117072,0.000117072,0.000117072
120,656.264,0.30538,0.19564,1.00535,0.99913,1,0.995,0.97554,0.21733,0.16936,0.53662,0.000110718,0.000110718,0.000110718
121,661.488,0.34632,0.21798,1.03501,0.98611,1,0.99487,0.97324,0.21606,0.16626,0.53702,0.000104537,0.000104537,0.000104537
122,666.816,0.34496,0.21041,1.0119,0.98684,1,0.995,0.96902,0.22425,0.1659,0.53982,9.85311e-05,9.85311e-05,9.85311e-05
123,671.923,0.32028,0.20992,1.01341,0.98613,1,0.99474,0.97348,0.21924,0.15427,0.53609,9.2704e-05,9.2704e-05,9.2704e-05
124,677.249,0.32268,0.20413,1.00166,0.98611,1,0.99487,0.97334,0.20995,0.15123,0.53176,8.70577e-05,8.70577e-05,8.70577e-05
125,682.296,0.34257,0.21282,1.01706,0.98607,1,0.99487,0.9767,0.21628,0.15345,0.53309,8.15947e-05,8.15947e-05,8.15947e-05
