epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,250.151,1.01084,0.21122,0.15762,0.70322,1.00811,0.99519,1,0.995,0.73288,0.99519,1,0.995,0.9876,1.11747,0.18772,0.05514,0.81939,0.92171,0.00083622,0.00083622,0.00083622
42,255.628,1.03073,0.19723,0.16282,0.7557,0.99994,0.93548,1,0.99211,0.68725,0.93548,1,0.99211,0.97274,1.10647,0.2269,0.05358,0.91777,0.90123,0.000828443,0.000828443,0.000828443
43,261.207,1.01065,0.31452,0.1631,0.74291,0.98814,0.97359,0.99619,0.99474,0.58283,0.97359,0.99619,0.99474,0.96439,1.46047,0.26366,0.05509,0.89132,0.98962,0.000820525,0.000820525,0.000820525
44,266.57,1.00062,0.21733,0.1332,0.72925,0.99424,0.96948,1,0.9938,0.61081,0.96948,1,0.9938,0.96028,1.26367,0.27307,0.04289,0.78967,1.02466,0.000812468,0.000812468,0.000812468
45,272.188,1.08261,0.21572,0.15383,0.77811,1.04486,0.97317,0.98649,0.99435,0.56267,0.97317,0.98649,0.99435,0.98329,1.39602,0.24651,0.05492,0.80916,0.95885,0.000804277,0.000804277,0.000804277
46,277.76,1.01755,0.21359,0.11805,0.70345,1.00307,0.97102,1,0.99002,0.65253,0.97102,1,0.99002,0.98205,1.19578,0.35596,0.04993,0.72011,0.91568,0.000795954,0.000795954,0.000795954
47,283.013,0.93127,0.19258,0.1224,0.66056,0.98692,0.96966,1,0.99146,0.76025,0.96966,1,0.99146,0.98012,0.95631,0.46596,0.05736,0.72252,0.86831,0.000787503,0.000787503,0.000787503
48,288.477,0.95685,0.25028,0.11677,0.74998,0.98585,1,0.9986,0.995,0.69152,1,0.9986,0.995,0.98025,0.89765,0.27574,0.04349,0.69348,0.86843,0.000778929,0.000778929,0.000778929
49,293.881,1.01055,0.21994,0.12804,0.76315,1.00393,0.98632,1,0.995,0.70567,0.98632,1,0.995,0.98152,1.12697,0.16874,0.0414,0.73919,0.95532,0.000770234,0.000770234,0.000770234
50,299.257,1.07178,0.20258,0.12708,0.74305,1.04829,0.98823,1,0.995,0.64832,0.98823,1,0.995,0.98605,1.10375,0.13732,0.05586,0.72487,0.95214,0.000761423,0.000761423,0.000761423
51,304.749,0.95124,0.16904,0.09927,0.71279,0.98148,0.99836,1,0.995,0.76341,0.99836,1,0.995,0.99028,0.81523,0.14864,0.03627,0.59754,0.89694,0.0007525,0.0007525,0.0007525
52,310.324,0.99562,0.20719,0.12567,0.65195,0.9957,0.98242,1,0.98953,0.76153,0.98242,1,0.98953,0.97887,0.9301,0.18186,0.03489,0.59231,0.8801,0.000743468,0.000743468,0.000743468
53,315.666,1.00111,0.15313,0.09427,0.6473,0.99842,0.99711,0.98649,0.99461,0.76055,0.99711,0.98649,0.99461,0.98865,0.88893,0.15277,0.0427,0.62822,0.904,0.000734332,0.000734332,0.000734332
54,321.032,0.90765,0.20258,0.12201,0.68308,0.98306,0.99769,1,0.995,0.69961,0.99769,1,0.995,0.99053,1.10938,0.10433,0.04009,0.66513,0.94501,0.000725094,0.000725094,0.000725094
55,326.302,1.00383,0.18997,0.0791,0.71349,0.98448,0.99698,1,0.995,0.73533,0.99698,1,0.995,0.99104,0.94583,0.09245,0.03811,0.65079,0.90131,0.000715761,0.000715761,0.000715761
56,331.766,0.9309,0.19786,0.08985,0.68839,0.98621,0.98376,1,0.99487,0.67903,0.98376,1,0.99487,0.99254,1.16696,0.09783,0.03868,0.72842,0.94923,0.000706335,0.000706335,0.000706335
57,337.443,0.93424,0.20475,0.10692,0.67969,0.98464,0.93667,0.99935,0.98806,0.58914,0.93667,0.99935,0.99129,0.98525,1.24171,0.11767,0.0319,0.80628,0.99507,0.00069682,0.00069682,0.00069682
58,342.802,0.94887,0.21926,0.08782,0.64901,0.96881,0.99306,1,0.995,0.7578,0.99306,1,0.995,0.99354,0.99815,0.11338,0.02649,0.57654,0.91155,0.000687222,0.000687222,0.000687222
59,348.077,0.93707,0.15728,0.08498,0.61074,0.98286,0.99824,1,0.995,0.70626,0.99824,1,0.995,0.99338,1.19308,0.12912,0.03101,0.58029,0.93201,0.000677543,0.000677543,0.000677543
60,353.582,1.00134,0.17477,0.08087,0.67097,1.0202,0.99811,1,0.995,0.7717,0.99811,1,0.995,0.9889,0.94216,0.15959,0.04329,0.56858,0.92599,0.000667789,0.000667789,0.000667789
61,359.187,1.00932,0.19226,0.10502,0.69814,0.99739,0.99745,1,0.995,0.69233,0.99745,1,0.995,0.98902,1.16407,0.08999,0.02656,0.6364,0.90645,0.000657963,0.000657963,0.000657963
62,364.434,0.92378,0.17311,0.10764,0.6663,0.97953,0.99738,1,0.995,0.77679,0.99738,1,0.995,0.99318,0.95342,0.13365,0.02569,0.58072,0.92113,0.000648071,0.000648071,0.000648071
63,369.919,0.92582,0.13447,0.07317,0.64061,0.96546,0.99868,1,0.995,0.76512,0.99868,1,0.995,0.99345,0.94442,0.10573,0.02475,0.58754,0.88977,0.000638115,0.000638115,0.000638115
64,375.485,0.9581,0.20545,0.08351,0.64037,0.9666,0.96688,0.98649,0.99461,0.77635,0.96688,0.98649,0.99461,0.99273,0.9394,0.11217,0.02074,0.6184,0.87724,0.000628101,0.000628101,0.000628101
65,381.053,0.88508,0.15111,0.08884,0.62178,0.95814,0.99679,1,0.995,0.73702,0.99679,1,0.995,0.99305,0.98515,0.10517,0.02389,0.65392,0.89278,0.000618034,0.000618034,0.000618034
66,386.523,0.93243,0.19333,0.09073,0.65226,0.97331,0.99494,1,0.995,0.77995,0.99494,1,0.995,0.99212,0.90106,0.12144,0.03914,0.60286,0.88049,0.000607916,0.000607916,0.000607916
67,391.932,0.9019,0.15496,0.10321,0.63222,0.96007,0.99685,1,0.995,0.74212,0.99685,1,0.995,0.99057,0.91211,0.09408,0.028,0.60487,0.87859,0.000597754,0.000597754,0.000597754
68,397.23,0.91514,0.12643,0.07524,0.64258,0.96484,0.99842,1,0.995,0.75379,0.99842,1,0.995,0.99063,0.89504,0.10908,0.04432,0.59545,0.90598,0.000587551,0.000587551,0.000587551
69,402.527,0.92193,0.14422,0.06957,0.65592,0.97129,0.99522,1,0.995,0.70493,0.99522,1,0.995,0.99133,1.04536,0.13502,0.03597,0.63674,0.91623,0.000577311,0.000577311,0.000577311
70,407.781,0.90358,0.12816,0.0589,0.61606,0.94593,0.98365,1,0.9906,0.72592,0.98365,1,0.9906,0.98549,1.04405,0.09777,0.02835,0.60825,0.89315,0.00056704,0.00056704,0.00056704
71,413.048,0.89639,0.14939,0.07848,0.64286,0.93393,0.99392,1,0.995,0.68321,0.99392,1,0.995,0.99096,1.1489,0.08762,0.03394,0.6354,0.89997,0.000556742,0.000556742,0.000556742
72,418.512,0.89339,0.11995,0.07903,0.58894,0.96595,0.99392,1,0.995,0.70003,0.99392,1,0.995,0.99315,1.08693,0.11641,0.02694,0.61605,0.90692,0.000546421,0.000546421,0.000546421
73,424.061,0.87788,0.11937,0.07184,0.64803,0.95638,0.99614,1,0.995,0.74977,0.99614,1,0.995,0.99311,0.92908,0.10614,0.03193,0.64524,0.89629,0.000536081,0.000536081,0.000536081
74,429.731,0.83233,0.10704,0.07957,0.62438,0.94282,0.99643,1,0.995,0.70337,0.99643,1,0.995,0.99308,0.99423,0.0781,0.02262,0.7019,0.90584,0.000525728,0.000525728,0.000525728
75,435.465,0.8507,0.13618,0.07051,0.65822,0.95738,0.95172,0.95946,0.98806,0.55483,0.99193,1,0.995,0.99313,1.5249,0.08183,0.02747,0.89889,1.00095,0.000515366,0.000515366,0.000515366
76,441.161,0.81284,0.1066,0.07467,0.61807,0.91417,0.95903,0.97297,0.98008,0.58553,0.98567,1,0.995,0.9921,1.37188,0.08626,0.02777,0.84147,0.99401,0.000505,0.000505,0.000505
77,446.859,0.80863,0.14145,0.069,0.62367,0.9573,0.99725,1,0.995,0.65299,0.99725,1,0.995,0.99111,1.20245,0.0894,0.02034,0.70841,0.95333,0.000494634,0.000494634,0.000494634
78,452.385,0.88861,0.17296,0.07881,0.66145,0.97745,0.99534,1,0.995,0.73155,0.99534,1,0.995,0.99307,0.89834,0.0728,0.01571,0.64,0.88479,0.000484272,0.000484272,0.000484272
79,457.888,0.84312,0.16686,0.08213,0.60669,0.94771,0.98657,1,0.995,0.70902,0.98657,1,0.995,0.9913,0.90512,0.07599,0.01682,0.65624,0.86571,0.000473919,0.000473919,0.000473919
80,463.395,0.92197,0.146,0.06757,0.6558,0.96233,0.9803,1,0.99473,0.63076,0.9803,1,0.99473,0.99285,1.26109,0.07821,0.02088,0.71674,0.92699,0.000463579,0.000463579,0.000463579
81,468.903,0.87659,0.08233,0.04128,0.61384,0.94808,0.98195,1,0.995,0.70387,0.98195,1,0.995,0.99219,0.9951,0.11038,0.01922,0.66945,0.8996,0.000453258,0.000453258,0.000453258
82,474.282,0.82144,0.13246,0.05845,0.61756,0.93633,0.99661,1,0.995,0.64079,0.99661,1,0.995,0.99313,1.25653,0.06433,0.01738,0.66848,0.91096,0.00044296,0.00044296,0.00044296
83,479.819,0.87656,0.10799,0.06655,0.58482,0.92862,0.99761,1,0.995,0.68473,0.99761,1,0.995,0.99312,1.20069,0.07261,0.01911,0.62507,0.90942,0.000432689,0.000432689,0.000432689
84,485.031,0.8713,0.10104,0.06465,0.57976,0.9491,0.99721,1,0.995,0.60559,0.99721,1,0.995,0.99128,1.35064,0.07072,0.01953,0.69566,0.92699,0.000422449,0.000422449,0.000422449
85,490.317,0.89904,0.16598,0.06815,0.66797,0.94751,0.99548,1,0.995,0.52387,0.99548,1,0.995,0.99113,1.47105,0.06554,0.01862,0.8064,0.94376,0.000412246,0.000412246,0.000412246
86,495.463,0.88427,0.11949,0.07171,0.63691,0.94188,0.9974,1,0.995,0.67391,0.9974,1,0.995,0.99316,1.06668,0.06733,0.01702,0.6358,0.88295,0.000402084,0.000402084,0.000402084
