epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,551.333,0.4428,0.27149,1.09731,0.99919,1,0.995,0.9179,0.40297,0.24149,0.78545,0.000577311,0.000577311,0.000577311
70,559.362,0.45477,0.28179,1.0982,0.98556,1,0.99395,0.91961,0.40006,0.46649,0.82122,0.00056704,0.00056704,0.00056704
71,567.22,0.4578,0.31651,1.1192,0.99338,1,0.995,0.92651,0.40023,0.42787,0.81588,0.000556742,0.000556742,0.000556742
72,575.233,0.47105,0.30305,1.11335,0.99911,1,0.995,0.92245,0.40872,0.29562,0.8339,0.000546421,0.000546421,0.000546421
73,583.149,0.45186,0.28593,1.09893,0.97426,0.98667,0.99461,0.93077,0.4293,0.31927,0.84465,0.000536081,0.000536081,0.000536081
74,591.159,0.43281,0.28428,1.08769,0.98471,1,0.99447,0.88336,0.50517,0.50014,1.00665,0.000525728,0.000525728,0.000525728
75,599.035,0.42658,0.27525,1.07967,0.99881,1,0.995,0.91596,0.41678,0.37575,0.84171,0.000515366,0.000515366,0.000515366
76,606.953,0.42266,0.26205,1.06917,1,0.99962,0.995,0.93315,0.34522,0.35105,0.76471,0.000505,0.000505,0.000505
77,614.835,0.44749,0.28027,1.08878,0.99877,1,0.995,0.89219,0.50581,0.3704,0.95502,0.000494634,0.000494634,0.000494634
78,622.829,0.46882,0.28524,1.11052,0.99881,1,0.995,0.92823,0.3614,0.24527,0.79635,0.000484272,0.000484272,0.000484272
79,630.74,0.44201,0.2763,1.0884,0.99894,1,0.995,0.8703,0.56212,0.28709,0.94076,0.000473919,0.000473919,0.000473919
80,638.678,0.43125,0.26277,1.08761,0.99911,1,0.995,0.92994,0.36257,0.23597,0.78804,0.000463579,0.000463579,0.000463579
81,646.578,0.45433,0.27032,1.10615,0.99926,1,0.995,0.89586,0.47201,0.25247,0.83837,0.000453258,0.000453258,0.000453258
82,654.539,0.43193,0.28255,1.08295,0.99919,1,0.995,0.9522,0.359,0.24817,0.77687,0.00044296,0.00044296,0.00044296
83,662.51,0.40408,0.26226,1.06055,0.99918,1,0.995,0.94417,0.35534,0.23932,0.75446,0.000432689,0.000432689,0.000432689
84,670.494,0.38983,0.25181,1.06539,0.9992,1,0.995,0.91402,0.41293,0.23964,0.78897,0.000422449,0.000422449,0.000422449
85,678.371,0.41987,0.26849,1.08004,0.99916,1,0.995,0.91993,0.41241,0.25733,0.79206,0.000412246,0.000412246,0.000412246
86,686.336,0.38614,0.24806,1.03954,0.99849,1,0.995,0.93619,0.34537,0.28128,0.7734,0.000402084,0.000402084,0.000402084
87,694.268,0.41024,0.25942,1.0659,0.99924,1,0.995,0.9481,0.35042,0.26253,0.75224,0.000391966,0.000391966,0.000391966
88,702.255,0.40678,0.2595,1.06606,0.99924,1,0.995,0.94503,0.34901,0.2515,0.75657,0.000381899,0.000381899,0.000381899
89,710.222,0.40582,0.26097,1.05799,0.99857,1,0.995,0.94386,0.33284,0.22721,0.74148,0.000371885,0.000371885,0.000371885
90,718.184,0.40769,0.2612,1.06084,0.99665,1,0.995,0.89535,0.41676,0.25098,0.82484,0.000361929,0.000361929,0.000361929
91,726.137,0.40787,0.25323,1.05583,0.96,1,0.99315,0.93127,0.34072,0.29362,0.76867,0.000352037,0.000352037,0.000352037
92,734.133,0.41147,0.2551,1.07245,0.99902,1,0.995,0.93721,0.33473,0.24965,0.74325,0.000342211,0.000342211,0.000342211
93,742.108,0.40401,0.2598,1.06671,0.99913,1,0.995,0.94616,0.2993,0.21605,0.69751,0.000332457,0.000332457,0.000332457
94,750.023,0.40139,0.24941,1.06897,0.99915,1,0.995,0.93211,0.38286,0.22994,0.7672,0.000322778,0.000322778,0.000322778
95,757.981,0.40525,0.26309,1.07288,0.99915,1,0.995,0.94273,0.35547,0.22384,0.74586,0.00031318,0.00031318,0.00031318
96,765.929,0.38175,0.24138,1.03737,0.99673,1,0.995,0.94987,0.30213,0.20851,0.73532,0.000303665,0.000303665,0.000303665
97,773.912,0.37862,0.23798,1.04596,0.9984,1,0.995,0.95558,0.2915,0.19656,0.72724,0.000294239,0.000294239,0.000294239
98,782.032,0.37561,0.23287,1.05345,0.99928,1,0.995,0.95214,0.29754,0.19572,0.71759,0.000284906,0.000284906,0.000284906
99,789.943,0.35953,0.23031,1.03579,0.99928,1,0.995,0.94521,0.27131,0.22186,0.70433,0.000275668,0.000275668,0.000275668
100,797.925,0.36742,0.23418,1.04601,0.99854,1,0.995,0.94318,0.35498,0.28343,0.77955,0.000266532,0.000266532,0.000266532
101,805.911,0.3791,0.24024,1.04653,0.99833,1,0.995,0.91829,0.40435,0.31788,0.8126,0.0002575,0.0002575,0.0002575
102,813.99,0.35514,0.23133,1.02522,0.99886,1,0.995,0.95626,0.28079,0.25798,0.7109,0.000248577,0.000248577,0.000248577
103,822.035,0.3618,0.23196,1.03523,0.99295,1,0.995,0.95155,0.32837,0.24527,0.7361,0.000239766,0.000239766,0.000239766
104,830.131,0.3587,0.2314,1.04505,0.99827,1,0.995,0.94327,0.34914,0.25247,0.76554,0.000231071,0.000231071,0.000231071
105,838.115,0.36312,0.22766,1.02255,0.99878,1,0.995,0.95514,0.29316,0.24194,0.73229,0.000222497,0.000222497,0.000222497
106,846.105,0.34722,0.22837,1.02557,0.99926,1,0.995,0.97247,0.24512,0.2043,0.67583,0.000214046,0.000214046,0.000214046
107,854.043,0.35499,0.2253,1.03042,0.99925,1,0.995,0.97404,0.23905,0.18936,0.66385,0.000205723,0.000205723,0.000205723
108,862.109,0.34857,0.22527,1.02752,0.99935,1,0.995,0.97306,0.27757,0.19106,0.67807,0.000197532,0.000197532,0.000197532
109,869.978,0.34755,0.22386,1.02078,0.99904,1,0.995,0.97019,0.24541,0.18439,0.65971,0.000189475,0.000189475,0.000189475
110,877.977,0.35988,0.23308,1.03618,0.9984,1,0.995,0.978,0.23667,0.16839,0.64464,0.000181557,0.000181557,0.000181557
111,885.941,0.3434,0.22153,1.01062,0.99841,1,0.995,0.97738,0.24207,0.17612,0.64789,0.00017378,0.00017378,0.00017378
112,893.867,0.35425,0.22396,1.04528,0.99918,1,0.995,0.96894,0.22961,0.17252,0.64465,0.000166149,0.000166149,0.000166149
113,901.782,0.35375,0.22234,1.02396,0.99918,1,0.995,0.97725,0.23145,0.1776,0.64581,0.000158667,0.000158667,0.000158667
114,909.796,0.34072,0.22529,1.02098,0.99921,1,0.995,0.97973,0.21645,0.16838,0.63616,0.000151336,0.000151336,0.000151336
115,917.741,0.33293,0.21348,1.01489,0.99921,1,0.995,0.97306,0.24026,0.1766,0.6464,0.000144161,0.000144161,0.000144161
116,925.742,0.34453,0.21851,1.02941,0.99903,1,0.995,0.95627,0.28781,0.18055,0.67135,0.000137143,0.000137143,0.000137143
117,933.628,0.33823,0.21457,1.01219,0.99913,1,0.995,0.96529,0.24431,0.17486,0.64712,0.000130287,0.000130287,0.000130287
118,941.543,0.32665,0.21026,1.00531,0.99916,1,0.995,0.98155,0.22623,0.17403,0.64651,0.000123596,0.000123596,0.000123596
119,949.548,0.33621,0.21252,1.01547,0.99873,1,0.995,0.98145,0.23143,0.18308,0.64659,0.000117072,0.000117072,0.000117072
120,957.475,0.33774,0.21605,1.01714,0.99928,1,0.995,0.96311,0.26609,0.20022,0.66074,0.000110718,0.000110718,0.000110718
121,965.382,0.31537,0.19819,0.99568,0.99924,1,0.995,0.96503,0.25294,0.20847,0.6595,0.000104537,0.000104537,0.000104537
122,973.316,0.29619,0.19955,0.98878,0.99787,1,0.995,0.97193,0.25203,0.21065,0.66987,9.85311e-05,9.85311e-05,9.85311e-05
123,981.184,0.32154,0.20431,1.01189,0.99922,1,0.995,0.96408,0.27063,0.20872,0.67938,9.2704e-05,9.2704e-05,9.2704e-05
124,989.133,0.32836,0.2032,1.01466,0.99927,1,0.995,0.96922,0.27488,0.20686,0.68133,8.70577e-05,8.70577e-05,8.70577e-05
125,997.017,0.31732,0.21005,1.00793,0.99927,1,0.995,0.97847,0.24339,0.19818,0.67021,8.15947e-05,8.15947e-05,8.15947e-05
126,1004.96,0.3102,0.19995,1.00415,1,1,0.995,0.98179,0.22984,0.18427,0.6594,7.63174e-05,7.63174e-05,7.63174e-05
127,1012.97,0.32624,0.20685,1.0144,1,1,0.995,0.98039,0.23073,0.19141,0.65833,7.12282e-05,7.12282e-05,7.12282e-05
128,1020.91,0.31652,0.20319,1.00539,1,1,0.995,0.97929,0.23104,0.16841,0.65681,6.63292e-05,6.63292e-05,6.63292e-05
129,1028.81,0.30298,0.1954,0.99237,0.99925,1,0.995,0.97278,0.23172,0.15543,0.6557,6.16227e-05,6.16227e-05,6.16227e-05
130,1036.78,0.31683,0.19696,0.99669,0.99926,1,0.995,0.9717,0.23864,0.15593,0.65889,5.71106e-05,5.71106e-05,5.71106e-05
131,1044.66,0.30898,0.19667,1.00471,0.99927,1,0.995,0.96813,0.23536,0.15426,0.65776,5.2795e-05,5.2795e-05,5.2795e-05
132,1052.64,0.31149,0.19723,0.99188,0.99927,1,0.995,0.96343,0.23625,0.15455,0.65645,4.86777e-05,4.86777e-05,4.86777e-05
133,1060.55,0.30525,0.19276,1.00515,0.99926,1,0.995,0.97169,0.22532,0.15517,0.65136,4.47606e-05,4.47606e-05,4.47606e-05
134,1068.48,0.31354,0.20238,1.01123,0.99927,1,0.995,0.97321,0.21979,0.15185,0.64709,4.10454e-05,4.10454e-05,4.10454e-05
135,1076.38,0.30006,0.194,0.98258,0.99929,1,0.995,0.97638,0.21707,0.14988,0.64431,3.75337e-05,3.75337e-05,3.75337e-05
136,1084.27,0.31902,0.19995,1.01352,0.9993,1,0.995,0.97362,0.21457,0.15346,0.64234,3.4227e-05,3.4227e-05,3.4227e-05
137,1092.15,0.29007,0.18743,0.98807,0.9993,1,0.995,0.97718,0.20977,0.15162,0.63854,3.11268e-05,3.11268e-05,3.11268e-05
138,1100.09,0.31751,0.19598,1.00579,0.99929,1,0.995,0.97167,0.20715,0.15368,0.63602,2.82345e-05,2.82345e-05,2.82345e-05
139,1107.97,0.29271,0.18729,0.99727,0.99929,1,0.995,0.97244,0.21459,0.15286,0.63802,2.55513e-05,2.55513e-05,2.55513e-05
140,1115.9,0.29206,0.19275,0.99271,0.99929,1,0.995,0.9664,0.22022,0.15125,0.63879,2.30784e-05,2.30784e-05,2.30784e-05
141,1126.81,0.24354,0.45375,0.99263,0.99889,1,0.995,0.9722,0.21767,0.15565,0.63349,2.08169e-05,2.08169e-05,2.08169e-05
142,1134.79,0.22266,0.2491,0.98439,0.98506,1,0.99447,0.97102,0.22155,0.17549,0.62893,1.87678e-05,1.87678e-05,1.87678e-05
143,1142.73,0.2066,0.19552,0.98982,0.98679,0.99568,0.99487,0.97222,0.22303,0.20688,0.62788,1.6932e-05,1.6932e-05,1.6932e-05
144,1150.67,0.1998,0.16329,0.94074,0.99524,0.98667,0.99487,0.969,0.22651,0.22086,0.62784,1.53102e-05,1.53102e-05,1.53102e-05
145,1158.59,0.20893,0.16442,0.98069,0.99756,0.98667,0.99487,0.97109,0.22593,0.22172,0.62866,1.39032e-05,1.39032e-05,1.39032e-05
146,1166.49,0.1928,0.16272,0.97316,0.98509,1,0.99487,0.97453,0.22649,0.22857,0.63055,1.27117e-05,1.27117e-05,1.27117e-05
147,1174.34,0.18648,0.14652,0.97322,0.98627,1,0.99487,0.9732,0.22382,0.21355,0.62755,1.1736e-05,1.1736e-05,1.1736e-05
148,1182.26,0.20301,0.15176,0.95878,0.98909,0.98667,0.99487,0.97612,0.22231,0.20147,0.62757,1.09768e-05,1.09768e-05,1.09768e-05
149,1190.11,0.19587,0.15201,0.97163,0.98578,1,0.99487,0.97606,0.22028,0.20209,0.62794,1.04342e-05,1.04342e-05,1.04342e-05
150,1198.06,0.18139,0.1371,0.94246,0.98297,1,0.99487,0.97793,0.22079,0.19248,0.62864,1.01086e-05,1.01086e-05,1.01086e-05
