epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,733.952,0.3613,0.23298,1.04929,0.99929,1,0.995,0.96038,0.31663,0.26837,0.71078,0.000231071,0.000231071,0.000231071
105,741.068,0.36923,0.22802,1.02851,0.99928,1,0.995,0.95764,0.29335,0.24741,0.69839,0.000222497,0.000222497,0.000222497
106,748.194,0.36011,0.2283,1.0311,0.99928,1,0.995,0.98253,0.23793,0.19202,0.66785,0.000214046,0.000214046,0.000214046
107,755.291,0.35227,0.22134,1.02536,0.99927,1,0.995,0.97621,0.28829,0.19652,0.69319,0.000205723,0.000205723,0.000205723
108,762.4,0.34571,0.22778,1.02533,0.99926,1,0.995,0.9737,0.28685,0.20433,0.69522,0.000197532,0.000197532,0.000197532
109,769.459,0.34671,0.22941,1.01855,0.99926,1,0.995,0.97483,0.25195,0.18722,0.67815,0.000189475,0.000189475,0.000189475
110,776.503,0.36433,0.23537,1.04107,0.99918,1,0.995,0.96032,0.25815,0.1908,0.67798,0.000181557,0.000181557,0.000181557
111,783.56,0.35256,0.22237,1.0203,0.99852,1,0.995,0.96155,0.25755,0.2285,0.67985,0.00017378,0.00017378,0.00017378
112,790.679,0.34904,0.22382,1.04199,0.99773,1,0.995,0.94954,0.25645,0.27641,0.68476,0.000166149,0.000166149,0.000166149
113,797.752,0.35287,0.22078,1.0262,0.99779,1,0.995,0.94699,0.26506,0.26734,0.68631,0.000158667,0.000158667,0.000158667
114,804.898,0.34359,0.22349,1.02152,0.99817,1,0.995,0.95735,0.25556,0.23994,0.6834,0.000151336,0.000151336,0.000151336
115,811.92,0.32812,0.20777,1.01364,0.99842,1,0.995,0.94129,0.30857,0.21772,0.70913,0.000144161,0.000144161,0.000144161
116,819.005,0.34958,0.22305,1.0338,0.99757,1,0.995,0.92342,0.36276,0.20981,0.74618,0.000137143,0.000137143,0.000137143
117,826.078,0.33594,0.21502,1.01014,0.99833,1,0.995,0.94964,0.30746,0.20259,0.70764,0.000130287,0.000130287,0.000130287
118,833.154,0.33455,0.21159,1.01055,0.99805,1,0.995,0.95922,0.26168,0.19844,0.67386,0.000123596,0.000123596,0.000123596
119,840.207,0.33603,0.21543,1.015,0.99843,1,0.995,0.96242,0.27298,0.20811,0.68037,0.000117072,0.000117072,0.000117072
120,847.285,0.33441,0.21769,1.01208,0.99824,1,0.995,0.95364,0.30068,0.2252,0.70284,0.000110718,0.000110718,0.000110718
121,854.408,0.32265,0.20357,0.99987,0.99922,1,0.995,0.95913,0.28155,0.214,0.69413,0.000104537,0.000104537,0.000104537
122,861.578,0.29382,0.20375,0.98564,0.99925,1,0.995,0.9711,0.25377,0.20212,0.67537,9.85311e-05,9.85311e-05,9.85311e-05
123,868.6,0.3197,0.20565,1.01224,0.99926,1,0.995,0.97584,0.25942,0.19917,0.67083,9.2704e-05,9.2704e-05,9.2704e-05
124,875.709,0.32737,0.20329,1.01306,0.99927,1,0.995,0.9722,0.27318,0.1973,0.67431,8.70577e-05,8.70577e-05,8.70577e-05
125,882.769,0.32796,0.21014,1.01232,0.99926,1,0.995,0.98327,0.2494,0.18801,0.65901,8.15947e-05,8.15947e-05,8.15947e-05
126,889.957,0.31158,0.20114,1.00483,0.99927,1,0.995,0.98328,0.23842,0.17851,0.64988,7.63174e-05,7.63174e-05,7.63174e-05
127,897.054,0.32717,0.20716,1.01768,0.99926,1,0.995,0.97783,0.25238,0.19641,0.65992,7.12282e-05,7.12282e-05,7.12282e-05
128,904.133,0.3237,0.20395,1.00481,0.99927,1,0.995,0.97677,0.24759,0.19465,0.65944,6.63292e-05,6.63292e-05,6.63292e-05
129,911.254,0.30572,0.19562,0.99355,0.99928,1,0.995,0.97532,0.23924,0.18533,0.65449,6.16227e-05,6.16227e-05,6.16227e-05
130,918.322,0.31792,0.20287,0.99868,0.99927,1,0.995,0.97005,0.24283,0.18701,0.65938,5.71106e-05,5.71106e-05,5.71106e-05
131,925.346,0.31722,0.19853,1.00708,0.99927,1,0.995,0.97139,0.24083,0.18913,0.65602,5.2795e-05,5.2795e-05,5.2795e-05
132,932.426,0.3085,0.20093,0.9905,0.99927,1,0.995,0.9766,0.23527,0.18443,0.65055,4.86777e-05,4.86777e-05,4.86777e-05
133,939.447,0.30552,0.19578,1.00313,0.99927,1,0.995,0.98245,0.22545,0.18643,0.64524,4.47606e-05,4.47606e-05,4.47606e-05
134,946.445,0.31853,0.20371,1.00961,0.99927,1,0.995,0.98522,0.22925,0.18497,0.64923,4.10454e-05,4.10454e-05,4.10454e-05
135,953.612,0.30515,0.19411,0.98555,0.99927,1,0.995,0.98286,0.23621,0.19046,0.65326,3.75337e-05,3.75337e-05,3.75337e-05
136,960.697,0.32363,0.20061,1.01329,0.99927,1,0.995,0.98167,0.23939,0.19277,0.65708,3.4227e-05,3.4227e-05,3.4227e-05
137,967.723,0.29213,0.19458,0.98878,0.99927,1,0.995,0.97979,0.23615,0.1848,0.65453,3.11268e-05,3.11268e-05,3.11268e-05
138,974.795,0.31644,0.19812,1.00204,0.99928,1,0.995,0.9799,0.23323,0.18041,0.65039,2.82345e-05,2.82345e-05,2.82345e-05
